VR ID,Bid ID,Lane,CPT,,Volume (cuft),SDT Time,Status
115S13LG2,,OAK4->ONT5,9/1/2018,1:15:00,1456.7,9/1/2018 1:15,COMPLETED
113RGZCSB,,OAK4->ONT5,9/1/2018,1:15:00,1997.29,9/1/2018 0:27,COMPLETED
11437G5M4,,OAK4->ONT5,9/2/2018,1:15:00,2064.62,9/1/2018 21:30,COMPLETED
112TK9MDH,,OAK4->ONT5,9/2/2018,1:15:00,1201.59,9/2/2018 1:15,COMPLETED
113KZZSPX,14591232,OAK4->ONT5,9/3/2018,1:15:00,160.36,9/3/2018 5:00,COMPLETED
114269RZB,,OAK4->ONT5,9/3/2018,1:15:00,1877.07,9/3/2018 1:15,COMPLETED
113XFF4FF,,OAK4->ONT5,9/3/2018,1:15:00,1874.03,9/2/2018 22:30,COMPLETED
1111VC3VM,14628032,OAK4->ONT5,9/4/2018,1:15:00,1709,9/3/2018 23:00,COMPLETED
114KSYN68,,OAK4->ONT5,9/4/2018,1:15:00,1962.43,9/3/2018 22:30,COMPLETED
115L5B814,FindWork,OAK4->ONT5,9/4/2018,1:15:00,,9/3/2018 22:30,CANCELLED
112CW38SB,,OAK4->ONT5,9/4/2018,1:15:00,269.77,9/4/2018 1:15,COMPLETED
112QY2Y15,,OAK4->ONT5,9/5/2018,1:15:00,1802.59,9/5/2018 1:15,COMPLETED
1126JPL3N,,OAK4->ONT5,9/5/2018,1:15:00,2005.49,9/4/2018 22:30,COMPLETED
112WZ8Y32,,OAK4->ONT5,9/6/2018,1:15:00,1582.08,9/6/2018 1:15,COMPLETED
113K72J1X,FindWork,OAK4->ONT5,9/6/2018,1:15:00,2264.69,9/5/2018 22:30,COMPLETED
112WF5QMR,,OAK4->ONT5,9/7/2018,1:15:00,1938.88,9/6/2018 22:30,COMPLETED
1161ZRDV7,,OAK4->ONT5,9/7/2018,1:15:00,1625.05,9/7/2018 1:15,COMPLETED
1166TBWXV,,OAK4->ONT5,9/8/2018,1:15:00,1583.02,9/8/2018 1:15,COMPLETED
116JL58HL,,OAK4->ONT5,9/8/2018,1:15:00,1972.83,9/7/2018 22:30,COMPLETED
1162VCYXQ,,OAK4->ONT5,9/9/2018,1:15:00,1788.2,9/9/2018 1:15,COMPLETED
111JW5H5C,,OAK4->ONT5,9/9/2018,1:15:00,2098.16,9/8/2018 23:25,COMPLETED
1117T8M8R,,OAK4->ONT5,9/10/2018,1:15:00,2036.23,9/9/2018 22:30,COMPLETED
115WJ87JV,,OAK4->ONT5,9/10/2018,1:15:00,1283.97,9/10/2018 1:15,COMPLETED
111S167R9,,OAK4->ONT5,9/11/2018,1:15:00,1716.88,9/11/2018 1:15,COMPLETED
1148TTJJV,,OAK4->ONT5,9/11/2018,1:15:00,2121.17,9/10/2018 23:27,COMPLETED
1161T5JZN,,OAK4->ONT5,9/12/2018,1:15:00,2079.66,9/11/2018 22:30,COMPLETED
11461G3P4,,OAK4->ONT5,9/12/2018,1:15:00,1671.33,9/12/2018 1:15,COMPLETED
11559CV55,,OAK4->ONT5,9/13/2018,1:15:00,2222.79,9/13/2018 0:27,COMPLETED
111CHPCP8,,OAK4->ONT5,9/13/2018,1:15:00,1696.2,9/13/2018 1:15,COMPLETED
112XXCNHG,,OAK4->ONT5,9/14/2018,1:15:00,1916.99,9/14/2018 0:30,COMPLETED
11319JV6D,,OAK4->ONT5,9/14/2018,1:15:00,1079.99,9/14/2018 1:15,COMPLETED
114NNGWB5,,OAK4->ONT5,9/15/2018,1:15:00,1920.95,9/14/2018 22:30,COMPLETED
112HRWW6P,,OAK4->ONT5,9/15/2018,1:15:00,1299.13,9/15/2018 1:15,COMPLETED
114PYLBS1,,OAK4->ONT5,9/16/2018,1:15:00,1875.96,9/16/2018 0:27,COMPLETED
1128VMMKG,,OAK4->ONT5,9/16/2018,1:15:00,1359.56,9/16/2018 1:15,COMPLETED
115PLZJ2D,,OAK4->ONT5,9/17/2018,1:15:00,1412.56,9/17/2018 1:15,COMPLETED
115YQBMQZ,,OAK4->ONT5,9/17/2018,1:15:00,1955.81,9/16/2018 23:30,COMPLETED
111XMRMCZ,,OAK4->ONT5,9/18/2018,1:15:00,1521.41,9/18/2018 1:15,COMPLETED
115DG4KY6,,OAK4->ONT5,9/18/2018,1:15:00,1878.74,9/17/2018 23:30,COMPLETED
112GM51H9,,OAK4->ONT5,9/19/2018,1:15:00,2059.27,9/18/2018 23:30,COMPLETED
