VR ID,Bid ID,Lane,CPT,,Volume (cuft),Status,SDT Time,,
115S13LG2,,OAK4->ONT5,2018-09-01,1:15:00,1456.7,COMPLETED,2018-09-01,1:15:00,AM
113RGZCSB,,OAK4->ONT5,2018-09-01,1:15:00,1997.29,COMPLETED,2018-09-01,12:27:00,AM
11437G5M4,,OAK4->ONT5,2018-09-02,1:15:00,2064.62,COMPLETED,2018-09-01,9:30:00,PM
112TK9MDH,,OAK4->ONT5,2018-09-02,1:15:00,1201.59,COMPLETED,2018-09-02,1:15:00,AM
113KZZSPX,14591232,OAK4->ONT5,2018-09-03,1:15:00,160.36,COMPLETED,2018-09-03,5:00:00,AM
114269RZB,,OAK4->ONT5,2018-09-03,1:15:00,1877.07,COMPLETED,2018-09-03,1:15:00,AM
113XFF4FF,,OAK4->ONT5,2018-09-03,1:15:00,1874.03,COMPLETED,2018-09-02,10:30:00,PM
1111VC3VM,14628032,OAK4->ONT5,2018-09-04,1:15:00,1709,COMPLETED,2018-09-03,11:00:00,PM
114KSYN68,,OAK4->ONT5,2018-09-04,1:15:00,1962.43,COMPLETED,2018-09-03,10:30:00,PM
115L5B814,FindWork,OAK4->ONT5,2018-09-04,1:15:00,,CANCELLED,2018-09-03,10:30:00,PM
112CW38SB,,OAK4->ONT5,2018-09-04,1:15:00,269.77,COMPLETED,2018-09-04,1:15:00,AM
112QY2Y15,,OAK4->ONT5,2018-09-05,1:15:00,1802.59,COMPLETED,2018-09-05,1:15:00,AM
1126JPL3N,,OAK4->ONT5,2018-09-05,1:15:00,2005.49,COMPLETED,2018-09-04,10:30:00,PM
112WZ8Y32,,OAK4->ONT5,2018-09-06,1:15:00,1582.08,COMPLETED,2018-09-06,1:15:00,AM
113K72J1X,FindWork,OAK4->ONT5,2018-09-06,1:15:00,2264.69,COMPLETED,2018-09-05,10:30:00,PM
112WF5QMR,,OAK4->ONT5,2018-09-07,1:15:00,1938.88,COMPLETED,2018-09-06,10:30:00,PM
1161ZRDV7,,OAK4->ONT5,2018-09-07,1:15:00,1625.05,COMPLETED,2018-09-07,1:15:00,AM
1166TBWXV,,OAK4->ONT5,2018-09-08,1:15:00,1583.02,COMPLETED,2018-09-08,1:15:00,AM
116JL58HL,,OAK4->ONT5,2018-09-08,1:15:00,1972.83,COMPLETED,2018-09-07,10:30:00,PM
1162VCYXQ,,OAK4->ONT5,2018-09-09,1:15:00,1788.2,COMPLETED,2018-09-09,1:15:00,AM
111JW5H5C,,OAK4->ONT5,2018-09-09,1:15:00,2098.16,COMPLETED,2018-09-08,11:25:00,PM
1117T8M8R,,OAK4->ONT5,2018-09-10,1:15:00,2036.23,COMPLETED,2018-09-09,10:30:00,PM
115WJ87JV,,OAK4->ONT5,2018-09-10,1:15:00,1283.97,COMPLETED,2018-09-10,1:15:00,AM
111S167R9,,OAK4->ONT5,2018-09-11,1:15:00,1716.88,COMPLETED,2018-09-11,1:15:00,AM
1148TTJJV,,OAK4->ONT5,2018-09-11,1:15:00,2121.17,COMPLETED,2018-09-10,11:27:00,PM
1161T5JZN,,OAK4->ONT5,2018-09-12,1:15:00,2079.66,COMPLETED,2018-09-11,10:30:00,PM
11461G3P4,,OAK4->ONT5,2018-09-12,1:15:00,1671.33,COMPLETED,2018-09-12,1:15:00,AM
11559CV55,,OAK4->ONT5,2018-09-13,1:15:00,2222.79,COMPLETED,2018-09-13,12:27:00,AM
111CHPCP8,,OAK4->ONT5,2018-09-13,1:15:00,1696.2,COMPLETED,2018-09-13,1:15:00,AM
112XXCNHG,,OAK4->ONT5,2018-09-14,1:15:00,1916.99,COMPLETED,2018-09-14,12:30:00,AM
11319JV6D,,OAK4->ONT5,2018-09-14,1:15:00,1079.99,COMPLETED,2018-09-14,1:15:00,AM
114NNGWB5,,OAK4->ONT5,2018-09-15,1:15:00,1920.95,COMPLETED,2018-09-14,10:30:00,PM
112HRWW6P,,OAK4->ONT5,2018-09-15,1:15:00,1299.13,COMPLETED,2018-09-15,1:15:00,AM
114PYLBS1,,OAK4->ONT5,2018-09-16,1:15:00,1875.96,COMPLETED,2018-09-16,12:27:00,AM
1128VMMKG,,OAK4->ONT5,2018-09-16,1:15:00,1359.56,COMPLETED,2018-09-16,1:15:00,AM
115PLZJ2D,,OAK4->ONT5,2018-09-17,1:15:00,1412.56,COMPLETED,2018-09-17,1:15:00,AM
115YQBMQZ,,OAK4->ONT5,2018-09-17,1:15:00,1955.81,COMPLETED,2018-09-16,11:30:00,PM
111XMRMCZ,,OAK4->ONT5,2018-09-18,1:15:00,1521.41,COMPLETED,2018-09-18,1:15:00,AM
115DG4KY6,,OAK4->ONT5,2018-09-18,1:15:00,1878.74,COMPLETED,2018-09-17,11:30:00,PM
112GM51H9,,OAK4->ONT5,2018-09-19,1:15:00,2059.27,COMPLETED,2018-09-18,11:30:00,PM
111CXPS64,,OAK4->ONT5,2018-09-19,1:15:00,1410.98,COMPLETED,2018-09-19,1:15:00,AM
116P56V6Q,,OAK4->ONT5,2018-09-20,1:15:00,1630.87,COMPLETED,2018-09-20,1:15:00,AM
116PHR1ZD,,OAK4->ONT5,2018-09-20,1:15:00,2128.13,COMPLETED,2018-09-20,12:27:00,AM
113V4FZ5P,15464842,OAK4->ONT5,2018-09-21,1:15:00,1581.2,COMPLETED,2018-09-21,12:00:00,AM
11692WTGG,,OAK4->ONT5,2018-09-21,1:15:00,925.23,COMPLETED,2018-09-21,1:15:00,AM
114TL6BRH,,OAK4->ONT5,2018-09-21,1:15:00,,CANCELLED,2018-09-20,11:30:00,PM
112972KZH,,OAK4->ONT5,2018-09-22,1:15:00,2073,COMPLETED,2018-09-22,1:15:00,AM
115T3Y2SG,,OAK4->ONT5,2018-09-22,1:15:00,,CANCELLED,2018-09-22,12:30:00,AM
114VPFQ7C,FindWork,OAK4->ONT5,2018-09-23,1:15:00,982.76,COMPLETED,2018-09-23,1:15:00,AM
1168M8LVM,,OAK4->ONT5,2018-09-23,1:15:00,2163.54,COMPLETED,2018-09-23,1:15:00,AM
116MFWR19,FindWork,OAK4->ONT5,2018-09-24,1:15:00,1117.4,COMPLETED,2018-09-24,1:15:00,AM
111XFXX5K,,OAK4->ONT5,2018-09-24,1:15:00,1404.7,COMPLETED,2018-09-24,1:15:00,AM
116R7F1JT,,OAK4->ONT5,2018-09-25,1:15:00,1329.73,COMPLETED,2018-09-25,1:15:00,AM
114V3C2RK,,OAK4->ONT5,2018-09-25,1:15:00,665.64,COMPLETED,2018-09-25,1:15:00,AM
115PHGZB4,FindWork,OAK4->ONT5,2018-09-26,1:15:00,1938.65,COMPLETED,2018-09-26,12:30:00,AM
1169GLYV9,,OAK4->ONT5,2018-09-26,1:15:00,1088.54,COMPLETED,2018-09-26,1:15:00,AM
111MBQ2HM,,OAK4->ONT5,2018-09-27,1:15:00,1917.96,COMPLETED,2018-09-27,1:06:00,AM
111XDQZR1,,OAK4->ONT5,2018-09-27,1:15:00,806.46,COMPLETED,2018-09-27,1:15:00,AM
116TNCYSY,FindWork,OAK4->ONT5,2018-09-28,1:15:00,1833.32,COMPLETED,2018-09-28,1:15:00,AM
112H456Q4,,OAK4->ONT5,2018-09-28,1:15:00,,CANCELLED,2018-09-28,1:15:00,AM
114SKSM1H,FindWork,OAK4->ONT5,2018-09-28,1:15:00,,CANCELLED,2018-09-28,12:30:00,AM
112KZ7BKC,,OAK4->ONT5,2018-09-29,1:15:00,2017.39,COMPLETED,2018-09-29,12:30:00,AM
114PGRJS8,,OAK4->ONT5,2018-09-29,1:15:00,481.6,COMPLETED,2018-09-29,1:15:00,AM
1125MFFDL,,OAK4->ONT5,2018-09-30,1:15:00,1057.6,COMPLETED,2018-09-30,1:15:00,AM
1141N1B2W,,OAK4->ONT5,2018-09-30,1:15:00,2193.21,COMPLETED,2018-09-30,12:27:00,AM
