Lane,Date,Time,Scheduled,Slam,90th percentile_Schedule,90th percentile_Slam,50th percentile_Schedule,50th percentile_Slam
OAK4->ONT5,2018-09-01,00:00 PDT,3518.24477,3491.58022,3452.675233,3919.101467,3356.842095,3321.88808
OAK4->ONT5,2018-09-01,01:00 PDT,3518.24477,3491.58022,3941.258627,3919.101467,3356.842095,3321.85699
OAK4->ONT5,2018-09-01,02:00 PDT,683.603087,313.058298,1458.397075,363.3494775,949.322583,217.0453575
OAK4->ONT5,2018-09-01,03:00 PDT,767.972013,436.272878,1553.350232,483.1727352,1014.957985,310.7620055
OAK4->ONT5,2018-09-01,04:00 PDT,866.831137,562.604176,1616.127721,621.3008084,1075.064325,398.5549565
OAK4->ONT5,2018-09-01,05:00 PDT,869.679279,564.182905,1641.825696,625.1691613,1097.931045,402.330996
OAK4->ONT5,2018-09-01,06:00 PDT,884.589909,564.182905,1672.304881,625.2060306,1116.34316,403.0876605
OAK4->ONT5,2018-09-01,07:00 PDT,991.495217,648.959583,1783.336764,687.1445522,1201.126125,457.379422
OAK4->ONT5,2018-09-01,08:00 PDT,1191.82999,839.040992,1883.787314,923.402297,1326.29524,599.898205
OAK4->ONT5,2018-09-01,09:00 PDT,1370.69633,977.582255,2003.772411,1070.909073,1439.536505,681.114107
OAK4->ONT5,2018-09-01,10:00 PDT,1528.27116,1080.74573,2132.097057,1235.183565,1621.7393,885.4277435
OAK4->ONT5,2018-09-01,11:00 PDT,1694.32019,1167.39944,2241.645048,1447.846309,1780.94823,1037.801405
OAK4->ONT5,2018-09-01,12:00 PDT,1828.00542,1195.87875,2373.526981,1514.949534,1921.470625,1089.630895
OAK4->ONT5,2018-09-01,13:00 PDT,1990.23829,1313.3432,2589.791523,1722.520622,2093.57283,1258.08969
OAK4->ONT5,2018-09-01,14:00 PDT,2154.34902,1564.17816,2812.92303,1942.981458,2225.049745,1408.84639
OAK4->ONT5,2018-09-01,15:00 PDT,2299.16775,1681.4928,2931.71973,2158.205039,2424.568715,1555.23889
OAK4->ONT5,2018-09-01,16:00 PDT,2513.86746,1836.82039,3063.199927,2351.463722,2572.6623,1761.742705
OAK4->ONT5,2018-09-01,17:00 PDT,2683.8549,2087.9365,3247.232814,2572.903571,2734.49246,1960.458935
OAK4->ONT5,2018-09-01,18:00 PDT,2817.23638,2220.54861,3392.269362,2711.48748,2863.342085,2094.44656
OAK4->ONT5,2018-09-01,19:00 PDT,3026.33306,2587.54884,3662.634304,3057.420184,3006.23481,2521.280375
OAK4->ONT5,2018-09-01,20:00 PDT,3269.1987,2932.26763,3807.557936,3323.034985,3120.550505,2810.98972
OAK4->ONT5,2018-09-01,21:00 PDT,3272.90001,3094.45882,3789.901606,3584.69964,3157.03185,3050.55604
OAK4->ONT5,2018-09-01,22:00 PDT,3288.99682,3197.37603,3901.523505,3834.554256,3225.8796,3183.193375
OAK4->ONT5,2018-09-01,23:00 PDT,3299.90816,3220.57387,3944.474906,3907.139005,3240.56367,3217.49224
OAK4->ONT5,2018-09-02,00:00 PDT,3347.95076,3271.9776,,,,
OAK4->ONT5,2018-09-02,01:00 PDT,3347.95076,3271.9776,,,,
OAK4->ONT5,2018-09-02,02:00 PDT,1129.34287,350.856279,,,,
OAK4->ONT5,2018-09-02,03:00 PDT,1235.29609,508.079814,,,,
OAK4->ONT5,2018-09-02,04:00 PDT,1270.46364,620.712977,,,,
OAK4->ONT5,2018-09-02,05:00 PDT,1275.31067,622.240999,,,,
OAK4->ONT5,2018-09-02,06:00 PDT,1292.87747,622.240999,,,,
OAK4->ONT5,2018-09-02,07:00 PDT,1361.52355,679.721836,,,,
OAK4->ONT5,2018-09-02,08:00 PDT,1547.81766,836.275069,,,,
OAK4->ONT5,2018-09-02,09:00 PDT,1713.5608,978.909314,,,,
OAK4->ONT5,2018-09-02,10:00 PDT,1925.39952,1177.55614,,,,
OAK4->ONT5,2018-09-02,11:00 PDT,2100.36023,1265.10523,,,,
OAK4->ONT5,2018-09-02,12:00 PDT,2260.89863,1303.20258,,,,
OAK4->ONT5,2018-09-02,13:00 PDT,2583.57756,1572.12247,,,,
OAK4->ONT5,2018-09-02,14:00 PDT,2859.73313,1911.55292,,,,
OAK4->ONT5,2018-09-02,15:00 PDT,3075.87968,2046.79336,,,,
OAK4->ONT5,2018-09-02,16:00 PDT,3343.99885,2283.56797,,,,
OAK4->ONT5,2018-09-02,17:00 PDT,3423.31883,2490.62052,,,,
OAK4->ONT5,2018-09-02,18:00 PDT,3714.52095,2635.37835,,,,
OAK4->ONT5,2018-09-02,19:00 PDT,3852.83486,2950.61526,,,,
OAK4->ONT5,2018-09-02,20:00 PDT,3987.93853,3348.96911,,,,
OAK4->ONT5,2018-09-02,21:00 PDT,3989.88148,3650.16798,,,,
OAK4->ONT5,2018-09-02,22:00 PDT,3998.17459,3929.14589,,,,
OAK4->ONT5,2018-09-02,23:00 PDT,3998.07095,3937.19708,,,,
OAK4->ONT5,2018-09-03,00:00 PDT,3987.81106,3944.27668,,,,
OAK4->ONT5,2018-09-03,01:00 PDT,3974.59091,3944.14816,,,,
OAK4->ONT5,2018-09-03,02:00 PDT,910.881656,166.422071,,,,
OAK4->ONT5,2018-09-03,03:00 PDT,966.316262,250.764001,,,,
OAK4->ONT5,2018-09-03,04:00 PDT,1001.12872,304.821318,,,,
OAK4->ONT5,2018-09-03,05:00 PDT,1008.90159,306.521869,,,,
OAK4->ONT5,2018-09-03,06:00 PDT,1022.23907,306.521869,,,,
OAK4->ONT5,2018-09-03,07:00 PDT,1048.7818,342.222161,,,,
OAK4->ONT5,2018-09-03,08:00 PDT,1088.06375,446.708989,,,,
OAK4->ONT5,2018-09-03,09:00 PDT,1205.40928,560.387295,,,,
